Slang,Example,Informal_Text_Without_Slang
vibing,"I'm just vibing at the park, soaking up the sun.","I'm just hanging out at the park, enjoying the sun."
hyped,I'm super hyped for the party tonight!,I'm really excited for the party tonight!
cap,"No cap, I left my keys at home and just realized it now!",I can’t believe I forgot my keys at home.
drip,"Yo, your new drip slaps!","Hey, I really like your new haircut!"
wiped,"I'm completely wiped after a crazy long day at work, fr.",I'm just really tired today after a long day at work.
snag,"Gonna snag a latte before hitting up class, fr.",I'm going to grab a coffee before heading to class.
huge (tired),I'm huge tired 'cause I pulled an all-nighter hitting the books.,I'm really tired because I stayed up late studying.
"deadass, drained, nada",I'm deadass drained today and not tryna do nada.,I'm just feeling really tired today and don't want to do anything.
snacks,I hit up the grocery to snag some snacks.,I went to the grocery store to pick up some food.
"drained, vibe","I'm so drained today, might just chill at home and vibe.","I'm really tired today, so I might just stay in and relax."
finna,I'm finna chill with my squad at the park today.,I'm going to hang out with my friends at the park today.
"chillin', fr","I'm just chillin' at home, binge-watching my fave show, fr fr.",I'm just relaxing at home and binge-watching my favorite show.
vibe,"Bruh, I gotta vibe out and chill for a sec.",I think I need to take a break and relax for a bit.
"vibing, fr","I'm vibing with hitting the park later to chill and maybe snag some ice cream, fr.",I'm thinking about going to the park later to relax and maybe grab some ice cream.
snack,I'm just gonna pop a snack real quick before I dive into homework.,I'm just going to grab a quick snack before I start my homework.
Z's,"Hey, I'm so exhausted today 'cause I didn't catch enough Z's last night.","Hey, I'm really tired today because I didn't sleep well last night."
fr,"Just wrapped up my homework and I'm totally drained, fr.",I just finished my homework and I'm so tired.
"drained, solo","I'm so drained, just tryna vibe solo at my place today.",I'm just tired and want to chill at home today.
yeet,"I'm finna yeet some coffee before class, fr fr.",I'm just going to grab some coffee before school.
stoked,I'm hella stoked for the concert tonight!,I'm so excited for the concert tonight!
"sick, fr","Yo, I peeped a sick hoodie at the store today, fr fr.","Hey, I saw a really cool hoodie at the store today."
hyped,I'm super hyped to chill with my squad today.,I'm really excited about hanging out with my friends today.
"Chillin', vibing","Yo, I'm just chillin' at my place and vibing to some tunes.","Hey, I'm just relaxing at home and listening to some music."
drained,"Yo, just hit home from school and I'm totally drained, fr.","Hey, I just got back from school and I'm really tired."
"hit, snag",I hit up the coffee spot this morning to snag my fave latte.,I went to the coffee shop this morning to get my favorite latte.
spot,"Catch you at the coffee spot later, fr.",I'll see you at the coffee shop later.
"wiped, grindin'",I'm totally wiped after grindin’ all night on homework.,I'm feeling really tired after studying all night.
"vibing, flicks",I'm just vibing and binge-watching some flicks today.,I'm just relaxing and watching some movies today.
hyped,I'm mad hyped you pulled up to the party yesterday!,I'm really happy that you came to the party yesterday.
fam,"Yo, let’s snag some coffee later, fam.","Hey, I think we should grab some coffee later."
"drained, fr","I'm hella drained ‘cause I stayed up all night, fr fr.",I'm really tired today after staying up all night.
vibing,I'm just vibing at home rn.,I'm just relaxing at home right now.
finna,I'm finna hit the mall with my crew to snag some snacks.,I'm heading to the mall to grab some snacks with my friends.
vibing,"I'm just vibing through the day without any mess, no cap.",I'm just trying to get through the day without any drama.
wiped,"I'm so wiped after a long shift, fr fr.",I'm just feeling really tired after a long day at work.
kick,"Yo, wanna kick it after class?","Hey, do you want to hang out later after school?"
caffeine,"Yo, I’m about to hit up some caffeine before clocking in.","Hey, I’m just going to grab some coffee before work."
peeped,"Yo, just peeped that new flick everyone's buzzing about!","Hey, I just saw that new movie everyone's talking about."
vibing,Just vibing with my friends at the spot ✌️,I'm just hanging out with my friends at the café.
"copped, mad, chill","Yo, I copped a new spot that's mad chill to vibe at.","Hey, I found a new cafe that's really nice to hang out in."
dead (tired),"I'm dead tired today 'cause I barely slept, fr fr.",I'm feeling pretty tired today because I didn't get enough sleep.
vibing,"I'm vibing at home, binge-watching some shows tonight.",I'm just going to relax and watch some shows tonight.
no cap,I'm so dead today 'cause I slept like no cap last night.,I am really tired today because I didn't sleep well last night.
"pow wow, grub","Yo, you tryna pow wow and grab some grub l8r?","Hey, do you want to grab something to eat together later?"
squad,"Yo, just wrapped my homework and might chill with the squad later.","Hey, I just finished my homework and I'm thinking of hanging out with some friends later."
nada,"I'm so drained today, just wanna chill and do nada.","I'm really tired today, I just want to relax and do nothing."
vibe,I’m just tryna vibe with my squad this weekend.,I'm just trying to hang out with my friends this weekend.
hit (up),"I'm about to hit up the coffee shop, fr fr.",I'm going to grab some coffee at the café.
"chillin', vibing",I'm just chillin' at home and vibing with some Netflix tonight.,I'm just going to relax at home and watch some Netflix tonight.
"drained, hella",I'm hella drained today ‘cause I stayed up all night smh.,I'm feeling pretty tired today after staying up late last night.
fire,"That new bop you dropped on me is lowkey fire, I’m obsessed!",I really like that new song you recommended to me.
chill,"Yo, just wrapped my homework and I need a chill sesh.","Hey, I just finished my homework and I need a break."
wiped,"Just hit the mall, and I’m wiped.",I just got back from shopping and I'm exhausted.
tryna,I'm just tryna wrap up my homework before vibing with friends.,I'm just trying to finish my homework before going out with friends.
drained,"I'm totally drained after a wild long week, lol.",I'm feeling pretty tired today after a long week.
vibing,I'm just vibing in the park to chill.,I'm just taking a walk in the park to relax.
finna,I'm finna squad up for some lunch with my peeps later.,I'm going to grab some lunch with my friends this afternoon.
"chillin, link","Yo, you chillin’ tonight? Wanna link up?","Hey, are you free this evening to hang out?"
fire,"Yo, your drip is fire, love it!","Hey, I really like your new outfit!"
vibing,"Yo, I'm vibing with my homie for some coffee later, fr!",I'm going to grab some coffee with my friend later today.
vibin',I was just vibin' with my crew at the park.,I was just chilling with my friends at the park.
deadass,I'm deadass exhausted and just wanna chill at home today.,I'm really tired and just want to stay home today.
vibing,"Yo, saw u at the park yesterday, u looked vibing real hard.","Hey, I saw you at the park yesterday and you looked really happy."
"drained, wanna (chill)",I'm totally drained after a long day and just wanna chill.,I'm really tired after a long day and just want to relax.
"peeps, vibing",I hit up the park yesterday and saw a bunch of peeps vibing and having a good time.,I went to the park yesterday and saw a lot of people having fun.
gonna,"Gonna snag a coffee before clockin' in, lol.",I'm thinking of grabbing some coffee before work.
finna,Just finna get some coffee and then dip home to chill. ✌️,I'm just going to grab some coffee and then go home and relax.
vibing,I'm just vibing to chill and binge some movies tonight.,I'm just ready to relax and watch some movies tonight.
drained,"I'm so drained 'cause I spent the whole day roaming the mall, lol.",I'm really tired after walking around the mall all afternoon.
vibing,I'm just vibing with my squad tomorrow night.,I'm just going to hang out with my friends tomorrow evening.
"heckin', munchies",I'm heckin' slide to the store to grab some munchies.,I'm going to the supermarket to buy some snacks.
gonna,Gonna catch some coffee with my peep later.,I'm going to grab some coffee with my friend this afternoon.
vibing,"Yo, just wrapped my homework and I'm vibing to relax now.","Hey, I just finished my homework and I'm so ready to chill now."
dead (tired),I'm dead tired today 'cause I pulled an all-nighter last night.,I'm feeling really tired today because I stayed up late last night.
deets,"Yo, can you send me the deets from yesterday’s meet? Thanks fam!","Hey, could you send me the notes from yesterday’s meeting?"
"hot, chillin'","It's mad hot out today, so I’m just chillin' inside.","It's really hot outside today, so I think I'll stay indoors."
"chillin', vibing",I'm just chillin' and vibing with some TV.,I'm just going to relax and watch some TV.
"chillin', vibing",I'm just chillin’ and vibing with some shows now.,I'm just going to relax and watch some TV now.
"chillin, crib","Just chillin' at my crib, vibing with some tunes.",I'm just relaxing at home and listening to some music.
"dip, Z's","Lowkey, I gotta dip and catch some Z's soon.",I think I should probably get some sleep now.
sick,"Yo, did you peep my new phone? It's mad sick.","Hey, did you see my new phone? It's pretty cool."
sesh,"Yo, wanna hit up a dinner sesh after work?","Hey, do you want to grab dinner after work?"
hit,"Yo, wanna hit up coffee after work? ✨","Hey, do you want to go grab some coffee after work?"
"drained, lowkey","I'm hella drained today, I lowkey don't wanna step out.",I'm just feeling really tired today and don't want to go out.
