Slang,Description,Example,Context,Informal_Text_Without_Slang
spot,"Informal meeting place (e.g., coffee shop)","Catch you at the coffee spot later, fr.","In casual social interactions among friends or acquaintances, often refers to a planned meeting at an informal gathering place like a café or hangout spot, expressing camaraderie and anticipation for the upcoming encounter. Popular among younger demographics and urban populations.",I'll see you at the coffee shop later.
squad,A group of close friends or companions.,"I'm chugging a latte with my squad later, no cap.","Casual social gatherings among youth and young adults, often during leisure time, typically used to convey camaraderie and shared enjoyment, particularly in urban or digital contexts.",I'm grabbing a coffee with my friends this afternoon.
stacked,Plentiful supply (of something),"Yo, just hit the store and stacked up on snacks, fr fr!","Typically used among peers in casual, contemporary settings to convey an abundance or surplus acquired, such as food or goods. Often found in urban or youth cultures, with a friendly, relaxed sentiment.","Hey, I just got back from the store and grabbed some snacks."
stoked,Extremely excited or enthusiastic.,I'm hella stoked for the concert tonight!,"Frequently used among friends or groups sharing a common interest, particularly in youth culture and sports contexts, to express shared excitement about an upcoming event, such as a party, music festival, or athletic competition. The tone is energetic and upbeat, reflecting collective anticipation and camaraderie.",I'm so excited for the concert tonight!
stroll,"Casual walk, often implying leisure or exploring.","Yo, wanna hit up the park for a stroll?","Often used among friends in a casual setting, such as hanging out or exploring new places, to convey a sense of leisure and camaraderie, primarily among younger demographics.","Hey, do you want to go for a walk to the park?"
swipe,"Casually indicating to swipe on a touchscreen (e.g., to match with someone in an app)","Yo, wanna swipe for some coffee later?","In informal digital settings such as online dating apps or social media platforms, young adults and millennials often engage in playful banter, using phrases like this to express interest in future plans.","Hey, do you want to go out for coffee later?"
tap,Requesting permission to join an activity or outing.,"Yo, wanna tap in for coffee later?","Typically exchanged among friends or acquaintances, often in casual, relaxed settings such as cafes or hangout spots. The tone is usually friendly and inviting, reflecting a desire to join or participate in an activity. This phrase is predominantly used by younger demographics who favor informal language and conversational ease.","Hey, do you want to grab coffee with me later?"
tiered,Intensifying adjective to express extreme degree.,I'm mad tired today 'cause I slept like zero.,"Typically used among peers in casual settings, often online or offline, to intensify feelings of fatigue or exhaustion, particularly when the cause is extreme sleep deprivation. The demographic range spans from teenagers to young adults.",I'm feeling really tired today because I didn't sleep well.
tiered,Intensified fatigue/exhaustion,"I'm mad tired today, just wanna chill at home and vibe out.","Casual, online or face-to-face settings among young adults and millennials expressing feelings of intense fatigue, often after a busy day or week, typically in informal, relaxed conversations.","I'm really tired today, I think I just want to stay home and relax."
chill,Relaxing and enjoying oneself casually,"I'm mad tired today, just wanna chill at home and vibe out.","Casual social setting among peers, expressing a desire for relaxation after a tiring day, often used by younger demographics in informal conversations.","I'm really tired today, I think I just want to stay home and relax."
vibe,relaxed atmosphere or mood,"I'm mad tired today, just wanna chill at home and vibe out.","Typically utilized among friends or peers during leisure time, often after a stressful day or event, indicating a desire for relaxation and enjoyment in a casual setting. Popular among various age groups and demographics.","I'm really tired today, I think I just want to stay home and relax."
tired,"Overly weary, colloquially expressed","I'm mad tired today 'cause I didn't sleep enough, fr.","Typically expressed among peers in casual settings, often indicating physical or mental fatigue due to lack of rest, particularly in informal or colloquial conversations among younger demographics.",I'm feeling really tired today because I didn't get enough sleep.
tired (slang for extremely weary),Extremely weary (slang),I'm mad tired today ’cause I pulled an all-nighter studying.,"Primarily used among peers in casual settings, often late at night or during discussions about work, school, or social activities when fatigue is prominent due to extended periods of exertion or lack of sleep. Demographics range from students and young professionals to those engaged in intense hobbies or activities.",I'm really tired today after studying all night.
tired,Exaggerated exhaustion; colloquial emphasis of extreme tiredness.,I'm mad tired today 'cause I didn't catch enough Z's last night.,"Typically utilized in casual, informal settings among peers or friends, often depicting a relaxed and laid-back tone. Primarily used by younger generations, especially within urban communities, to express extreme physical or mental exhaustion.",I'm really tired today because I didn't sleep well last night.
Z's,"Sleep (noun): common slang term for restful sleep; example: ""I didn't get enough Z's last night.""",I'm mad tired today 'cause I didn't catch enough Z's last night.,"Typically exchanged casually among friends or colleagues, often late at night or early morning, expressing fatigue and lack of rest. Popular in various social circles and age groups due to its simplicity and relatability.",I'm really tired today because I didn't sleep well last night.
tired,Informal term for extremely tired,"I'm mad tired today and bopped out last night, fr.","Typically employed among youth or casual friends, expressing intense exhaustion after a late-night social gathering or event.",I'm just really tired today and couldn't sleep well last night.
bopped,Overly tired or exhausted after partying intensely.,"I'm mad tired today and bopped out last night, fr.","Young adults, particularly those in urban settings, often discuss their social lives using slang terms such as 'bopped'. This term is typically used during informal, casual conversations to express extreme fatigue following a lively night of partying or entertainment. The usage reflects a relaxed and familiar tone among peers.",I'm just really tired today and couldn't sleep well last night.
tired,Informal term for extreme exhaustion or tiredness.,I'm mad tired today and vibing in boredom.,"In casual conversations among peers, particularly younger generations, often during downtime or after long days, expressing feelings of exhaustion or lethargy. Frequently observed in informal settings such as social gatherings, online chats, or text messages.",I'm just really tired today and feeling a bit bored.
bored,Casual term for feeling uninterested or lacking excitement,I'm mad tired today and vibing in boredom.,"Typically expressed among peers during casual conversations, especially when expressing feelings of lethargy or lack of engagement, often found in informal settings such as social gatherings or digital chats, popular among millennials and Generation Z.",I'm just really tired today and feeling a bit bored.
tired,"Casually extreme or intense, often employed in informal contexts.",I'm dead tired today and just wanna chill out.,"Typically utilized among peers in casual settings, often after a long day or strenuous activity, expressing a sense of exhaustion and eagerness for relaxation, predominantly among younger demographics.",I'm feeling really tired today and just want to relax.
chill,Relaxing or taking it easy.,I'm dead tired today and just wanna chill out.,"Friends gathering at home after a long week, expressing a desire for relaxation and stress relief among peers, casually and comfortably, primarily among young adults and millennials in informal settings.",I'm feeling really tired today and just want to relax.
tired,Exaggerated expression of exhaustion.,"I'm mad tired today, just wanna chill at home and vibe.","In casual conversations among friends or peers, especially those engaging in leisure activities such as hanging out or listening to music, the expression is commonly used to convey a relaxed mood and exhaustion from the day-to-day hustle. This slang term is popular among younger generations and urban communities.",I'm really tired today and just want to stay in and relax.
chill,Relaxing and enjoying oneself casually,"I'm mad tired today, just wanna chill at home and vibe.","In casual, informal settings among peers, particularly younger individuals or those within urban or hip-hop communities, this expression is often used to describe unwinding, relaxing, and enjoying leisure time at home or in a comfortable setting.",I'm really tired today and just want to stay in and relax.
vibe,A relaxed and enjoyable atmosphere or mood,"I'm mad tired today, just wanna chill at home and vibe.","Primarily used among peers during leisure time, often referring to unwinding and relaxing at social gatherings or personal spaces. Popular among a wide range of age groups and demographics, especially those who appreciate casual and laid-back environments.",I'm really tired today and just want to stay in and relax.
tired,"Intensifier for extreme feelings, commonly used to emphasize tiredness or exhaustion.","I'm hella tired today, might just chill at home and vibing.","Typically used among youth or casual groups, often online, expressing extreme exhaustion or fatigue after a long day or night, while planning to relax or unwind.","I'm really tired today, I think I'll just stay in and relax."
chill,Relaxing and enjoying oneself casually.,"I'm hella tired today, might just chill at home and vibing.","In casual, youthful social settings, often online or among friends, this phrase is used to express a plan for leisurely relaxation and enjoying downtime in private spaces. Demographically, it's popular among younger generations, particularly those who engage with informal digital communication.","I'm really tired today, I think I'll just stay in and relax."
vibing,Feeling relaxed and content; enjoying oneself,"I'm hella tired today, might just chill at home and vibing.","Typically used among friends or peers during casual gatherings or online chats, expressing a sense of relaxation and enjoyment, particularly when discussing leisure activities or personal downtime. Mainly popular in informal settings and youth culture.","I'm really tired today, I think I'll just stay in and relax."
tired,Informal term for extremely exhausted or tired.,"I'm dead tired today, but I still gotta grind on my homework.","Typically employed among peers during casual conversations, often late at night or after stressful days, indicating exhaustion and determination to complete tasks amidst fatigue, particularly common among young adults and students.","I'm really tired today, but I still need to finish my homework."
gotta,Informal obligation or necessity,"I'm dead tired today, but I still gotta grind on my homework.","In casual settings among peers, particularly youth and young adults, often when discussing obligations or responsibilities, especially when expressing a sense of necessity or urgency about completing tasks. This term is popular in informal spoken English.","I'm really tired today, but I still need to finish my homework."
tired,Informal term for extremely exhausted/tired.,I'm mad tired today 'cause I lowkey stayed up all night.,"In casual settings among friends or peers, often used to express exhaustion due to late-night activities or long workdays, particularly popular within younger demographics. The sentiment is usually relaxed and informal.",I'm just really tired today because I stayed up late last night.
lowkey,Casually or discreetly; understated.,I'm mad tired today 'cause I lowkey stayed up all night.,"Often used among friends or peers in casual, relaxed settings, typically during private conversations or on social media platforms. Sentiment is usually informal and candid, expressing understated feelings or experiences, such as admitting to staying up late when pretending to be asleep. Demographically, it appeals to young adults and urban communities, but can also be found across various age groups and cultures in contemporary English-speaking societies.",I'm just really tired today because I stayed up late last night.
tired,Exaggerated expression of tiredness.,I'm mad tired today and not tryna dip out.,"This slang term is commonly employed among friends or peers during casual conversations, often to express a sense of exhaustion after a long day or night, particularly when the individual wishes to avoid social engagements. It's predominantly used in informal settings among young adults and teenagers, primarily in urban environments.",I'm just really tired today and don't feel like going out.
tryna,Attempting (to do something) casually or indirectly.,I'm mad tired today and not tryna dip out.,"Casual conversations among young adults, particularly online, often use this term to express a reluctance or lack of enthusiasm for doing something, typically in a laid-back social setting such as chats with friends or on social media platforms. The tone is usually playful and informal.",I'm just really tired today and don't feel like going out.
tired,Casually extremely weary/fatigued,I'm mad tired today and not vibing to hang out.,"Often used among peers in casual settings, such as text messages or online chats, during personal catch-ups or planning social activities, expressing feelings of exhaustion or lack of enthusiasm. The demographic tends to skew younger, particularly those comfortable with digital communication and informal language.",I'm just really tired today and don't feel like hanging out.
vibe,A collective feeling or mood in a social setting.,I'm mad tired today and not vibing to hang out.,"In casual social settings among peers, often young adults or youths expressing their energy levels or mood for social activities.",I'm just really tired today and don't feel like hanging out.
toss,"Casual term for playing a game of chance or skill. Example: Let's toss for rock, paper, scissors.","Yo, wanna toss back a coffee later?","Typically used among peers in casual settings, such as social gatherings or online conversations, for planning future activities with a playful tone, often reflecting youth or informal demographics.","Hey, do you want to grab coffee later?"
tryna,Attempting (casual),"Yo, you tryna chill later?","Informal social gatherings or texts among friends, often used to propose leisure activities or plans. Demographics range from teenagers to young adults, particularly those who value casual communication and modern vernacular.","Hey, do you want to hang out later?"
tryna,"Attempting, informally",I'm just tryna wrap up my homework before I dip with my squad.,"Casual social setting among young adults, often in informal gatherings or online conversations, expressing a sense of determination to complete a task quickly before engaging in leisure activities with friends.",I'm just trying to finish my homework before I go out with my friends.
dip,"Leaving, especially casually or socially",I'm just tryna wrap up my homework before I dip with my squad.,"Casual social gatherings among youth or young adults, often indicating a relaxed and friendly departure. Primarily used in informal settings such as parties, hangouts, or group activities. The sentiment is positive and inclusive.",I'm just trying to finish my homework before I go out with my friends.
tryna,"Attempting, as in I'm tryna relax tonight.",I'm just tryna chill at home tonight and binge a flick.,"In casual settings among younger generations, particularly in informal social gatherings or online conversations, this phrase is often used to express an intent for relaxation or leisure activities such as watching movies, hanging out with friends, or unwinding after work. The sentiment is generally laid-back and relaxed.",I'm just going to relax at home tonight and watch a movie.
flick,A film or movie,I'm just tryna chill at home tonight and binge a flick.,"A casual social setting among friends or individuals, often young adults, discussing leisure activities online or in person, expressing relaxation and entertainment preferences.",I'm just going to relax at home tonight and watch a movie.
veg,"Relaxing or doing nothing, as in ""I'm vegging out on the couch.""","I'm dead tired today, just wanna veg at home.","In informal settings among friends or family, often during downtime, particularly after a long day or following stressful events, to express a desire for relaxation and rest. Primarily used in younger demographics, particularly among millennials and generation Z.","I'm really tired today, I just want to chill at home."
vibe,Casual mood or atmosphere,"Yo, wanna vibe tonight?","Typically used among peers to suggest a relaxed, social gathering, often late at night or during leisure time. Its usage is common in casual, informal settings among younger generations and urban communities.","Hey, do you want to hang out tonight?"
vibe,"A mood, atmosphere, or feeling.",I'm just gonna vibe at home and binge some YouTube vids.,"Typically used among young adults during leisure activities at home, expressing a relaxed mood or setting personal time aside for entertainment.",I'm just going to chill at home and watch some YouTube videos.
YouTube vids,Informal videos on YouTube.,I'm just gonna vibe at home and binge some YouTube vids.,"This term is commonly utilized among digital-native, youth demographics during casual, leisurely conversations, typically referring to unwinding or relaxing in personal spaces while engaging with various videos on YouTube. The tone is often relaxed and informal, reflecting a comfortable online social setting.",I'm just going to chill at home and watch some YouTube videos.
vibe,Mood or atmosphere; colloquial usage often in reference to personal feelings or social situations.,I'm just gonna vibe at home and crank some tunes.,"Typically expressed during leisure time at home or casual gatherings among friends and young adults, often used to convey a relaxed, carefree mood while engaging in personal entertainment.",I'm just going to chill at home and listen to some music.
crank,Boosting volume of music,I'm just gonna vibe at home and crank some tunes.,"Young adults or music enthusiasts often use this term in casual, laid-back settings like parties, social gatherings, or while relaxing alone at home, expressing a desire to increase the volume of their music for enjoyment and immersion. The usage is most common among urban, contemporary demographics.",I'm just going to chill at home and listen to some music.
vibe,Casual atmosphere or mood; colloquial.,"Yo, wanna vibe later and catch a flick?","Casual setting among peers, often young adults or millennials, expressing a plan for an evening of leisure activities such as watching a movie, typically in an informal and relaxed atmosphere.","Hey, do you want to hang out later to watch a movie?"
flick,Casual term for a movie,"Yo, wanna vibe later and catch a flick?","Typically employed among young adults during casual social gatherings or online interactions, often suggesting a laid-back atmosphere for entertainment. The term is prevalent within urban and pop culture demographics, reflecting a contemporary, informal tone.","Hey, do you want to hang out later to watch a movie?"
vibe,"Mood, atmosphere, or feeling",I'm just gonna vibe at home and binge some flicks today.,"Often utilized in casual conversations among friends or within online communities, this expression denotes relaxing alone or with others in a leisurely manner, typically engaging in activities such as watching movies or listening to music. Its usage tends to be popular among younger generations, particularly millennials and Gen Z.",I'm just going to chill at home and watch some movies today.
flicks,Movies or films (informal),I'm just gonna vibe at home and binge some flicks today.,"Young adults and teenagers often use this term during leisure time, such as chilling at home or hanging out with friends, to casually discuss their entertainment preferences. The tone is usually relaxed and informal, reflecting a contemporary, laid-back lifestyle.",I'm just going to chill at home and watch some movies today.
vibe,"Mood, atmosphere, or vibe.",I'm just gonna vibe at home and binge some shows tonight. They’re gonna be lit!,"Typically utilized among peers during leisure activities, such as watching movies or listening to music, expressing a relaxed and casual atmosphere, popular among youth and young adults.",I'm just going to chill at home and watch some TV tonight.
lit,Exaggerated fun or excitement,I'm just gonna vibe at home and binge some shows tonight. They’re gonna be lit!,"Primarily employed among younger demographics, often in casual settings like social gatherings or online interactions, to express anticipation for an enjoyable, energetic evening.",I'm just going to chill at home and watch some TV tonight.
vibin,Enjoying oneself in a lively and relaxed manner,"Yo, how you vibin' today?","Typically utilized among friends or peers during casual, laid-back interactions, often expressing a positive and upbeat sentiment, particularly in contemporary youth culture.",How are you feeling today?
vibin',Enjoying oneself or experiencing good vibes.,I was just vibin' with my crew at the park.,"Typically utilized among friends during leisure activities, such as gatherings or outings, expressing a sense of camaraderie and enjoyment. Popular among younger demographics, particularly in informal social settings.",I was just chilling with my friends at the park.
vibin',Enjoying oneself in a relaxed manner with enthusiasm.,"I'm just vibin' here, chillin’ with my tunes.","In casual social settings among friends or peers, often during leisure activities such as parties or hangouts, where music is playing and a relaxed, enjoyable atmosphere prevails. Typically used by younger demographics to express enjoyment and positivity.","I'm just sitting here, relaxing and listening to some music."
chillin',Relaxing informally,"I'm just vibin' here, chillin’ with my tunes.","Typically expressed among young adults or peers in casual settings, such as social gatherings, parties, or online chats, to signify a laid-back and enjoyable atmosphere.","I'm just sitting here, relaxing and listening to some music."
vibing,"Chill, relaxed atmosphere or mood",I'm just vibing at home rn.,"Typically used among peers, particularly younger demographics, in casual settings such as hangouts or online chats, to express a sense of comfort and relaxation, often when engaging in leisure activities at home or social gatherings.",I'm just relaxing at home right now.
vibing,Enjoying oneself or experiencing a pleasant atmosphere,"I'm just vibing at home and Netflix-ing, fr fr.","In casual social settings, primarily among youth or young adults, often during leisure activities such as watching TV shows or hanging out with friends, expressing a relaxed, enjoyable mood or atmosphere.",I'm just chilling at home and watching some Netflix.
Netflix-ing,"Streaming media content (TV shows, movies) online","I'm just vibing at home and Netflix-ing, fr fr.","Typically used among peers during leisure time, often referring to personal relaxation or entertainment, primarily among millennials and Gen Z.",I'm just chilling at home and watching some Netflix.
vibing,Enjoying oneself or a situation with an atmosphere of relaxation and positive energy.,I'm vibing out and binge-watching some shows today.,"In casual social settings among peers, often during leisure activities like watching TV or hanging out, to express a relaxed and enjoyable atmosphere. Primarily popular among millennials and Gen Z populations.",I'm just going to relax and watch some TV today.
binge-watching,Watching multiple episodes or movies of a TV show in rapid succession.,I'm vibing out and binge-watching some shows today.,"Often utilized in casual settings among friends or family, particularly during leisure time, expressing relaxation and enjoyment. Predominantly popular among younger generations, especially millennials and Generation Z. The context suggests a positive sentiment.",I'm just going to relax and watch some TV today.
vibing,"Relaxed, enjoyable mood",I'm just vibing through the day and keeping it chill.,"Young adults or millennials often use this term during leisure activities, such as hanging out with friends, at social gatherings, or engaging in casual online conversations, to express a relaxed and positive mood. The phrase is particularly popular among urban, socially active individuals who prioritize relaxation and enjoyment in their social interactions.",I'm just trying to get through the day and stay positive.
chill,Relaxed and unconcerned,I'm just vibing through the day and keeping it chill.,"Friends hang out at a casual gathering, discussing leisure activities, often among younger demographics, exuding a relaxed and unpretentious tone.",I'm just trying to get through the day and stay positive.
vibing,Enjoying oneself or sharing a positive atmosphere.,"I'm just vibing at home, Netflix and chillin’.","Young adults and teens often use this term during leisure activities, such as watching TV or hanging out with friends, typically to convey a sense of relaxation and enjoyment in casual settings.","I'm just chilling at home, watching some TV."
chillin',Informal relaxation or hanging out,"I'm just vibing at home, Netflix and chillin’.","Often used among peers during casual social gatherings or private settings, such as a friend's house party or a relaxed evening at home, to express a laid-back atmosphere or leisure activities. Most common in informal settings among young adults and millennials, indicating a comfortable, carefree sentiment.","I'm just chilling at home, watching some TV."
vibing,Enjoying oneself in a relaxed and comfortable manner.,I'm just vibing and chilling after a long grind.,"Relaxing and unwinding among friends or peers post-work or stressful periods, often reflecting a casual, laidback atmosphere, particularly prevalent in younger demographics.",I'm just trying to relax after a long day at work.
chilling,"Relaxing informally, often leisurely",I'm just vibing and chilling after a long grind.,"In informal social settings among peers, often young adults or friends, typically after a period of intense work or stress, to signify relaxation and leisure.",I'm just trying to relax after a long day at work.
vibing,"Enjoying oneself in a relaxed, lively manner","I'm just vibing at home, binge-watching my fave's drip.","Relaxed and lively self-expression, often found among young adults, typically during leisure activities such as social gatherings or personal time at home, engaging in entertainment like watching shows or listening to music.",I'm just chilling at home watching my favorite show.
faves' (drip),Popular favorites (stylish),"I'm just vibing at home, binge-watching my fave's drip.","Typically employed among youth or young adults in casual social settings such as gatherings, parties, or online platforms to express approval towards popular favorites or trends, often associated with a positive and engaging sentiment.",I'm just chilling at home watching my favorite show.
vibing,"Relaxing with an upbeat mood, typically in social settings.","I'm just vibing at home, catching some flicks.","Typically employed in casual social gatherings or online interactions among younger demographics, often to express a laid-back and enjoyably leisurely atmosphere while engaging in activities such as listening to music, watching movies, or chatting with friends.","I'm just chilling at home, watching some movies."
flicks,Motion pictures; films,"I'm just vibing at home, catching some flicks.","Social setting (who, when, where): Informal conversations among peers or friends, typically at home, during leisure time, either individually or collectively watching movies on various platforms. Demographics include millennials and Generation Z, with a preference for casual, relaxed settings. The sentiment/tone is generally relaxed and enjoyable.","I'm just chilling at home, watching some movies."
vibing,Relaxed enjoyment and agreement with atmosphere/situation,"Yo, I’m vibing with the idea of hitting the mall later, fr.","Casual social settings among friends or acquaintances, often when discussing plans for leisure activities, indicative of a relaxed and positive sentiment, popular within younger demographics in informal speech.","Hey, I was thinking about going shopping later."
fr,"Informal language characterizing youth culture, often humorously exaggerating or intensifying.","Yo, I’m vibing with the idea of hitting the mall later, fr.","Typically utilized in casual settings among young adults or peers, expressing shared enthusiasm for planned activities.","Hey, I was thinking about going shopping later."
vibing,Enjoying oneself with a relaxed and positive attitude.,Just vibing till my homie pulls up so we can hit up some grub.,"Typically utilized among peers during leisurely gatherings or social events, often referring to enjoying the present moment in a casual and friendly atmosphere, particularly popular in urban youth cultures.",I'm just waiting for my friend to arrive so we can go get some food.
homie,"Friend, often informal or close acquaintance",Just vibing till my homie pulls up so we can hit up some grub.,"Typically employed among friends or acquaintances in casual social settings, such as gatherings or informal conversations, to express camaraderie and familiarity. Demographics vary widely due to its informal nature, but it is particularly popular among younger generations and urban communities.",I'm just waiting for my friend to arrive so we can go get some food.
grub,Casual term for food,Just vibing till my homie pulls up so we can hit up some grub.,"Casual conversations among young adults or friends, often in social settings such as hangouts or gatherings, expressing anticipation for food. The sentiment is relaxed and friendly, appealing to a demographic of urban, contemporary individuals.",I'm just waiting for my friend to arrive so we can go get some food.
vibing,"Enjoying, often in a relaxed and positive manner.",I'm vibing to hit the mall later and kick it with my crew.,"This term is often employed in casual, youthful settings among friends, typically expressing a positive attitude towards upcoming leisure activities such as hanging out or socializing. The demographic ranges from teenagers to young adults, particularly those who are fond of contemporary music and urban culture.",I'm thinking about going to the mall later to hang out with my friends.
kick,Casual conversation or hanging out with friends.,I'm vibing to hit the mall later and kick it with my crew.,"Social setting (who, when, where): Young adults or teenagers, casually planning leisure activities like shopping and socializing with friends in an informal setting, likely in a public place such as a mall or park, and during their free time. Sentiment/tone is casual, friendly, and enthusiastic. Demographics: Primarily popular among urban, youth culture, and diverse peer groups, though usage can vary across different regions and social circles.",I'm thinking about going to the mall later to hang out with my friends.
vibing,Positive feelings or mood,I'm vibing 'cause I peeped a fresh new phone yesterday.,"In casual social settings among peers, often during discussions about personal achievements or positive experiences. Primarily used by younger generations and urban populations to express a sense of enjoyment or excitement. Example scenario: Friends catching up, discussing recent accomplishments like acquiring a new gadget, job promotion, or personal victory.",I'm really happy because I got a new phone yesterday.
peeped,"Observing surreptitiously; seen, noticed secretly.",I'm vibing 'cause I peeped a fresh new phone yesterday.,"Typically employed among peers to express excitement over personal discoveries or recent acquisitions, often in casual settings such as hangouts or online chats. Primarily popular among younger demographics, particularly those who lean towards urban and contemporary cultures.",I'm really happy because I got a new phone yesterday.
vibing,Enjoying oneself with an upbeat mood,I'm just vibing at the park and catching the rays.,"In casual, relaxed settings among friends or peers, often outdoors such as parks, beaches, or gatherings, individuals frequently use this term to express a carefree, pleasant mood or enjoyment of the moment. Primarily popular in contemporary youth cultures.",I'm just chilling at the park and enjoying the sun.
rays,Sunshine (or sunlight) in colloquial speech.,I'm just vibing at the park and catching the rays.,"Typically used among friends or peers during leisure activities, particularly outdoors, expressing relaxation and enjoying sunny weather. Widely used in casual settings among youth and adults of various demographics.",I'm just chilling at the park and enjoying the sun.
vibing,Feeling lively and in harmony with surroundings.,"Your new backpack's totally vibing, looks sick!","Young adults or millennials often use this term during social gatherings, such as parties, concerts, or casual hangouts, to express positive energy and enjoyment towards a particular object or situation. The tone is usually upbeat and affirmative, indicating shared enthusiasm with peers. It's particularly popular in urban settings among friends who are passionate about fashion or music.","I really like your new backpack, it looks great!"
sick,"Exceptionally cool, stylish, or impressive.","Your new backpack's totally vibing, looks sick!","Young adults or adolescents frequently use this term during informal social interactions, typically within friendship groups or online communities, to express admiration for something stylish, cool, or impressive.","I really like your new backpack, it looks great!"
vibing,Enjoying oneself in harmony with surroundings or people,"Yo, I'm vibing with the idea of snagging a coffee before I head to class, fr.","Typically used among young adults in casual, friendly conversations, expressing enjoyment and agreement with a proposed activity or plan.",I'm thinking about grabbing a coffee before heading to class.
snagging,"Securing unexpectedly, casually dating","Yo, I'm vibing with the idea of snagging a coffee before I head to class, fr.","In casual social settings among friends or peers, particularly within youth and urban communities, this phrase is often used to express spontaneous plans for leisure activities. The tone is generally relaxed and informal.",I'm thinking about grabbing a coffee before heading to class.
fr,"Casual, informal language used in conversation.","Yo, I'm vibing with the idea of snagging a coffee before I head to class, fr.","Typically used among peers during casual, laid-back social interactions, often in youth or younger adult environments, such as informal gatherings, digital chats, or informal educational settings like schools and colleges. The tone is conversational, friendly, and relaxed, suggesting shared understanding and familiarity.",I'm thinking about grabbing a coffee before heading to class.
vibing,"Enjoying oneself, often in response to music or an atmosphere.",I'm just vibing to the store to snag some snacks.,"Young adults often use this term during casual hangouts, typically at parties or social gatherings, when they are enjoying the music or atmosphere. The phrase is popular among urban demographics, often in informal settings where a relaxed and carefree tone prevails.",I'm just heading to the store to pick up some snacks.
snags,Casual term for food purchased impulsively,I'm just vibing to the store to snag some snacks.,"Casual setting among peers, often young adults or teenagers, discussing impromptu food purchases or indulgences, conveying a sense of leisure and immediacy.",I'm just heading to the store to pick up some snacks.
vibing,"Relaxing, enjoying oneself or surroundings casually.",I'm just vibing at home and streaming some vids.,"Relaxing at home while watching videos, usually among friends or alone, often reflecting casual leisure among younger demographics or tech-savvy individuals.",I'm just relaxing at home and watching some videos.
vids,"Short for videos; informal term for movies, TV shows, or digital media content.",I'm just vibing at home and streaming some vids.,"In casual online settings, particularly among younger demographics and social media users, this term is often used to describe leisure activities such as watching movies or TV shows on digital platforms. The sentiment is relaxed and informal, reflecting a modern lifestyle that values convenience and entertainment through technology.",I'm just relaxing at home and watching some videos.
villain,Anti-social and mischievous person (informal),"Yo, just crushed my homework, now I'm chillin' like a villain.","Usually employed among peers to express self-confidence or boastful attitude during casual gatherings or online interactions, particularly within youth demographics. The term is often used in a playful and non-aggressive context.","Hey, I just finished my homework and I'm ready to relax now."
wanna,Casual invitation,"Yo, wanna catch a coffee later?","In casual social settings among peers or friends, often used to propose leisure activities like catching up over coffee, demonstrating a relaxed and friendly tone. Demographics range from teenagers to young adults, particularly those who identify with informal or urban dialects of English.","Hey, do you want to grab a coffee later?"
what,"Casual language used to convey informality, intensity, or camaraderie.","Yo, you free this weekend or what?","Typically exchanged among friends or acquaintances, often during casual interactions, such as planning social events or discussing leisure activities. The sentiment is generally informal and friendly. It's commonly used by younger generations in various English-speaking demographics.","Hey, are you busy this weekend?"
whipped,"Feeling submissive or controlled, often in romantic relationships.","Yo, I just wrapped my homework and I’m hella whipped.","Young adults, particularly within urban or online communities, often use the term during casual conversations to express feelings of submissiveness or control, especially within romantic relationships, often in a jovial or light-hearted manner.","Hey, I just finished my homework and I’m so tired."
wiped,Extremely exhausted,"Just hit the mall, and I’m wiped.","Typically used in casual conversations among peers or colleagues, often after engaging in physically or mentally demanding activities, such as shopping or work. It expresses a sense of exhaustion or tiredness due to the effort exerted.",I just got back from shopping and I'm exhausted.
wiped,Extreme physical fatigue or exhaustion.,I'm totally wiped today ’cause I didn’t catch enough Z’s last night.,"Typically used among friends and colleagues, particularly in casual settings or online communities, when discussing personal energy levels or recovery from intense physical activities or sleep deprivation, expressing tiredness or exhaustion. Demographic can span ages but is often associated with young adults and working professionals.",I'm really tired today because I didn’t get much sleep last night.
Z's,Abbreviation for sleep; informal term often used in expressions about fatigue.,I'm totally wiped today ’cause I didn’t catch enough Z’s last night.,"Typically used among friends or colleagues, especially those with a relaxed and casual communication style, to discuss late nights or fatigue during informal social settings or work environments.",I'm really tired today because I didn’t get much sleep last night.
wiped,Exhausted or extremely tired,"I'm totally wiped today, so I’m gonna chill at home and vibing.","Often employed in casual conversations among young adults or peers, typically during social gatherings or online chats to express extreme tiredness after a busy day or late night. This term is popular among the millennial and Gen Z demographics, often conveying a laid-back and relaxed sentiment.","I'm really tired today, so I think I’ll just stay in and relax."
chilling,Relaxing and enjoying oneself socially.,"I'm totally wiped today, so I’m gonna chill at home and vibing.","Typically expressed among friends or peers during leisure time, often when seeking relaxation after a long day or stressful period, particularly popular in casual, informal settings among younger demographics.","I'm really tired today, so I think I’ll just stay in and relax."
vibing,enjoying one's surroundings in a relaxed and comfortable manner,"I'm totally wiped today, so I’m gonna chill at home and vibing.","Primarily used in casual settings among friends or acquaintances, often during leisure activities or relaxation periods, to express a sense of comfort and enjoyment. Most commonly employed by younger demographics, particularly those who prefer an informal and expressive communication style.","I'm really tired today, so I think I’ll just stay in and relax."
wiped,Informal expression of extreme exhaustion.,"I'm completely wiped after all that cram, fr.","Often used among peers or friends, typically following a period of intense study or work, expressing extreme mental exhaustion in a casual setting. It is prevalent among younger demographics who are familiar with informal English and internet slang.",I'm really tired after all that studying.
