normal,gen_z,Slang
"Hey, did you see the new song that just dropped?","Yo, have you peeped the new track that just dropped? It's fire!",Heard the latest track? It's lit!
"Hey, I just finished my homework and I'm really tired now.","Yo, I just dashed through my homework and I’m totally drained rn.",burned out
I really enjoyed that movie last night.,"That movie last night was a vibe, fr fr.",lit (affirmative)
I'm just trying to relax after a long day.,"I'm just tryna chill out after a long day, fr.","Chillin', fam"
"Hey, I saw your new haircut yesterday!","Yo, I peeped your fresh cut yesterday!",Copped your fly haircut yesterday!
I'm just really tired today and all I want to do is relax at home.,"I'm totally drained today and just wanna chill at home, fr.","burnt out, chillin'"
"I'm really tired today, so I think I'm just going to chill at home.","I'm so drained today, might just vibe solo and stay in.",burnt out
"Hey, I saw her at the mall yesterday.","Yo, I spotted her at the mall yesterday, fr fr.",A1: For real (fr)
"Hey, are we still meeting up later?","Yo, are we still vibing later?",Still vibin' later?
I'm just going to grab some food before heading to class.,I'm just finna get some munch before peacing to class.,Gonna (grab something to eat) then outta here (leaving) to class.
"I'm just really tired today, so I think I'll stay home and rest.","I'm totally drained today, so I'm just gonna chill at home and nap.",burnt out
I'm really bored today and just want to hang out with my friends.,I'm super bored today and just wanna squad up with my friends.,chillin' and wanna crew up
"Hey, I'm really excited for the concert this weekend!","Yo, I'm mad hyped for the concert this weekend! 🔥",excited
I just finished my homework and I'm about to hang out with my friends.,Just peeped my homework done and about to click up with the crew.,"Already finished homework, about to link up with squad. (Slang terms: ""peeped"" - completed, ""click up"" - meet or hang out with)"
"I'm feeling really tired today, I think I'll just stay at home.","I'm mad tired today, lowkey just gonna chill at home.","drained, kickin' it at home (chillin')"
I'm just going to grab some food and then head to class.,"Gonna snag some grub then slide to class, fr fr.","Chillin' grab food, head to class, fo' real. (Slang terms extracted: ""snag"" for grabbing, ""grub"" for food, and ""slide"" for heading or moving quickly)"
I just got back from hanging out with my friends at the park.,"Just dipped back from chillin' with my crew at the park, fr fr.",hanging (with friends) at the park
I'm going to grab some coffee after work.,"I'm finna snag some coffee after shift, fr.",gonnabegin grabbing coffee afterwards
I'm just going to hang out with my friends before the movie starts.,I'm just gonna chill with my squad before the flick drops.,hanging out with crew b4 movie releases
"Hey, I'm really tired today because I didn't sleep well.","Yo, I'm dead tired today 'cause I got no sleep lol.",exhausted
"Hey, do you want to go out for coffee later?","Yo, wanna swipe for some coffee later?",Wanna grab a cuppa joe later?
"Hey, I was just thinking about how cool that new song is.","Yo, that new track is straight fire, no cap!",lit (track)
"Hey, do you want to grab some coffee today?","Yo, wanna hit up some coffee today?",chillin' at a café (coffee shop) today?
"I'm just chilling at home today, watching some movies.","I'm just vibing at home, binge-watching some flicks.","Chillin' at home, watching some films. (Slang term: Chillin')"
"Hey, I saw your message and I want to hang out later.","Yo, saw your text and I'm down to chill later, fr!","Down to hang out later, for real!"
I'm so tired today because I didn't get enough sleep.,I'm straight-up wiped today 'cause I didn't catch enough z's.,Exhausted
I'm just going to grab some coffee before I start working on my project.,"I'm just finna catch some coffee before I grind on my project, no cap.",finna (about to) \~ catching coffee before grinding on a project
"Hey, I just realized I forgot my keys at home.","Yo, just peeped I left my keys vibing at home lol.",Left keys chillin' at home (slang for 'left keys are unattended at home')
I just got back from shopping and I'm really tired.,"Just hit the mall and I'm completely drained, fr.",burnt out
"Hey, did you see the new movie lately?","Yo, did you catch the new flick recently?","just saw that new movie, eh?"
"Hey, are you free this weekend to hang out?","Yo, you free this weekend to chill?",Got plans Fri-Sun? Free for hangout?
I'm just chilling at home and relaxing after a busy day.,"I'm just vibin' at home, takin' it easy after a hectic day.",Chillin' (at home)
I'm just going to grab some coffee before I head out.,I'm just finna snag some java before I dip.,gonna grab some coffee before I leave
I'm really tired after doing so much work today.,"I'm totally drained after grindin' all day, no cap.",burned out (after hustling all day)
I'm really tired after walking all day.,I'm totally wiped after vibing all day.,drained (after partying/having a good time all day)
I was just hanging out with my friends at the cafe.,"I was just vibin' with my crew at the cafe, fr fr.",Chillin' (with friends)
"Hey, I just got back from the store and grabbed some snacks.","Yo, just hit the store and stacked up on snacks, fr fr!","copped some grub, fo' shizzle!"
I'm just really tired today and feeling a bit lazy.,"Yo, I’m mad drained today and vibing with the chill mode.","exhausted, chilled"
I'm just about to grab dinner with my friends.,"Gonna hit up my friends for some grub, fr fr.","Chillin' with mates for food, fo' real."
"Hey, do you want to go out and grab some ice cream later?","Yo, wanna dip and get some ice cream later?","Wanna chill and grab some ice cream later? (slang: ""wanna"" -> ""want to,"" ""dip"" -> ""go"")"
"Hey, did you finish your homework already?","Yo, did you peep your homework yet or nah?",Peeped (or checked) homework yet?
"Hey, I saw your new outfit and it looks really nice!","Yo, I peeped your new fit and it's totally fire! 🔥",sick (slang for good/impressive)
I'm just really tired today after staying up all night.,I'm totally drained 'cause I pulled an all-nighter.,burned out (from staying up all night)
I'm feeling really tired after a long day at school.,I'm totally beat after acing that long day at school.,wrecked
"Hey, do you want to go for a walk to the park?","Yo, wanna hit up the park for a stroll?",Hang out (at the park)
I'm just gonna hang out with my friends tonight.,I'm just finna chill with my squad tonight.,Chillin' (with friends)
"Hey, I just finished my homework and I'm super tired.","Yo, I just knocked out my homework and I'm dead tired rn.",Crushed it (on homework) and currently drained
I'm really excited to meet my friends later.,I'm super hyped to vibe with my crew later.,pumped (to hang out with my crew later)
"I'm really tired today, so I just want to rest and watch some TV.","I'm hella drained today, just tryna chill and binge some shows.","exhausted, chilling, binging"
I'm just really tired today and feel like I need a coffee.,"I'm hella exhausted today, lowkey need a coffee stat.","utterly exhausted, quietly needing coffee immediately"
I'm just going to grab some coffee and then go shopping.,"Just gonna snag some coffee and hit up the mall, no cap.","Gonna cop some coffee and chill at the mall (slang for ""going to buy"" and ""hang out"")"
"Hey, I just finished my homework and I want to relax now.","Yo, just wrapped my homework, now I’m chillin’ and vibin’.",Chillin' and vibin' (vibing)
I'm just really tired because I didn't get enough sleep last night.,I'm lowkey drained 'cause I didn’t catch enough Z's last night.,"burnout (I'm lowkey = kinda, didn't catch enough Z's = didn't get enough sleep)"
I'm just excited to hang out with my friends today.,I'm so hyped to chill with my squad today.,pumped
"I'm really tired today, I didn't get much sleep last night.","I'm super drained today, barely slept last night lol.",burnt out
"I'm really tired today, so I'm just going to stay home and relax.","I'm drained today, so I'm just vibing at home and chilling.","I'm feeling burned out today, so I'm just relaxing at home. (Slang term used: ""drained"")"
I'm just heading to the grocery store to pick up some food.,I'm just vibing to the store to grab some snacks.,"Chillin', grabbin' grub (slang for food) at the store."
"Hey, I'm really tired today and just want to relax.","Hey, I'm hella drained today and just wanna chill vibe.","exhausted, want to relax"
I can't believe how tired I am after a long day.,"Bruh, I'm so drained after this full-on day, no cap.",burned out
I'm just going to stay home and relax tonight.,"I'm just vibing at home tonight, no cap.",chilling (at home) tonight
I'm really excited to hang out with my friends later.,"I'm mega hyped to chill with my squad later, fr fr!",excited (to hang out with my friends)
I'm just hanging out with friends at the mall today.,Just vibing with the squad at the mall today.,Chillin' with crew at mall today
"Hey, I'm going to grab some coffee. Want to join me?","Yo, I'm about to snag some coffee. You in?",Wanna grab a cuppa?
I'm just going to chill and watch some Netflix tonight.,I'm just gonna vibe and binge some Netflix tonight.,chilling (and netflixing)
I'm going to hang out with my friends at the park this afternoon.,I'm about to chill with the squad at the park later.,Chillin' with the crew at the park later.
"Hey, I'm just going to grab some coffee before heading to school.","Yo, I'm just finna hit up some coffee before I slide to school.","'gonna' (informal for ""going to"") and 'slide' (informal for ""go"")"
"Hey, I really enjoy hanging out with my friends after school.","Yo, I’m vibing with my squad after class, fr.","Chillin' with crew post-class, for real. (Slang terms extracted: ""vibing"", ""squad"", ""fr"")"
"Hey, I just finished my homework and I'm feeling relaxed now.","Yo, just knocked out my homework, now I’m vibing chill.",Chillin'
"Hey, I just got back from the store and I found some really cool sneakers.","Yo, just hit the store and scored some sick kicks!",fresh kicks
I'm really tired after all that studying today.,"I'm totally drained after cramming all day, no cap.",burnt out (after studying intensely)
I'm just chilling at home and binge-watching my favorite show.,"I'm just vibing at home, bingeing my fave show, no cap.","chilling (at home), watching fav show, no lie"
I'm just catching up on some shows today.,"I'm just vibing with some shows today, no cap.","Chillin', no cap (referring to ""vibing"")"
"Hey, do you want to grab coffee with me later?","Yo, wanna tap in for coffee later?",hit up
I'm just going to grab some food and relax at home.,I'm just finna get some grub and kick back at home.,Gonna (slang for going to) + chill/relax (informal term for kicking back)
I'm going to meet my friends at the coffee shop later.,I'm linking up with my crew at the coffee shop later.,Hanging out (with friends) at the coffee shop later.
I just finished my homework and I was wondering if you want to hang out later.,"Just wrapped my homework, and I was lowkey tryna see if you're down to chill later.",lowkey wanna chill later
I'm really happy that I finally finished my homework.,"I'm stoked I finally knocked out my homework, fr fr!",pumped
"Hey, did you finish your homework last night?","Yo, did you ace your homework yesterday or nah?","You good with that homework yesterday, or nope?"
I'm just really tired from a long day at work.,"Honestly, I’m sooo drained after a whole shift at work.",burnt out
That movie was really good tonight.,That flick was fire tonight!,lit (up)
"I'm really tired today, so I think I'll just chill at home.","I'm hella drained today, so I'm just gonna vibe at my crib.","super drained, chilling at home"
"Hey, I'm going to grab some coffee before heading to class.","Yo, I'm about to snag some ☕ before hitting up class.",gonnabrewsomecoffee
Let's hang out after school tomorrow.,"Yo, let's vibe together after school tmrw!",Chill (together) tomorrow after school!
"I'm actually really tired today, so I think I'll just relax at home.","Yo, I'm super drained today, so I'm just gonna chill at home.",burned out
"I'm really tired today, so I think I just want to stay home and relax.","I'm sooo drained today, just tryna chill at home and veg out.","burnt-out, chilling"
"I'm really tired today, so I think I'll just rest at home.","I'm dead tired today, so imma just chill at home.","burnt out, gon'veg at home"
I'm just casually hanging out with my friends at the mall.,"I'm just vibing with my crew at the mall, no cap.","Chillin', no cap."
I really enjoyed hanging out with my friends at the park today.,Had a lit time chillin' with my crew at the park today.,"Had a swell time hanging out with my peeps at the park today. (Slang terms: lit, peeps)"
I'm really excited about the new movie tonight.,I'm hella pumped for the new flick tonight.,hyped
I'm just really tired today and didn't feel like going out.,I'm deadass exhausted today and had zero chill for going out.,"Deadass tired, zero chill"
I'm really tired today after studying all night.,I'm mad tired today ’cause I pulled an all-nighter studying.,burnt out
"Hey, do you want to grab some coffee together later?","Yo, wanna vibe and get some coffee later?",Wanna hang out and grab a cuppa joe later? (Slang term: vibe -> hang out)
I can't believe how busy the city is today.,"Fr, the city is posted today, so hectic!",mad (slang for very busy)
I'm just really tired today and feeling a bit stressed out.,"I'm totally worn out today and vibing with some major stress, fr.","burnt out, stressed"
"Hey, that movie was really good!","Yo, that flick was straight fire!",That movie was lit!
I'm just trying to relax and watch some movies tonight.,I'm just chillin' and binge-watching some flicks tonight.,"Chillaxing, catchin' some films"
I'm just feeling a bit tired today.,I'm kind of vibing with that sleepy energy today.,"chillin' (slang for relaxing) with a sleepy vibe today. (Note that ""vibing"" is already slang and doesn't need rephrasing)"
I'm really excited about the weekend plans with my friends.,I'm super hyped for the weekend squad hangout!,stoked
I'm just going for a walk to clear my mind.,"Yo, I’m just out here vibing on a walk to free my brain, no cap.","Chillin', taking a stroll to clear my head, no lie."
"Hey, do you want to grab lunch after school?","Yo, wanna hit up lunch after classes?",Let's grab some grub post-class?
"Hey, are you coming to the party later?","Yo, ya peepin' the party tonight or what?",Peeping (meaning attending or checking out)
I'm going to grab some food from the cafeteria.,I'm finna hit up the cafeteria for some chow.,boutta
"Hey, I was just thinking about how cool the new game is.","Yo, that new game is straight fire, no cap.",lit (adjective) for something that is extremely good or exciting.
I'm feeling really tired today because I stayed up late watching a Netflix series.,I'm hella drained today 'cause I binge-watched a Netflix series all night.,exhausted (from overdoing it)
I'm just going to grab a snack before I start my homework.,I'm just vibing with a snack before diving into my homework mix.,Chillin' with a snack b4 tackling homework
I'm really excited to go to the new cafe downtown tomorrow.,I'm mega hyped to hit up that new cafe downtown tomorrow!,pumped
"Hey, are you free to hang out tomorrow afternoon?","Yo, you got time to chill tomorrow arvo?",got time tomorrow afternoon?
"Wow, that concert was really fun yesterday!","Yo, that show was straight fire yesterday!",show was lit yesterday
I'm really tired after all that studying.,"I'm completely wiped after all that cram, fr.",fried (exhausted)
I'm going to the mall to hang out with my friends this afternoon.,I'm hitin' up the mall to chill with my crew later.,hanging (with friends) at the mall
I'm just browsing my phone while waiting for my friend.,I'm just vibing on my phone while waiting for my homie.,chilling (on phone)
I'm just going to chill at home and watch some Netflix tonight.,"I'm just finna kick back at home and binge some Netflix tonight, no cap.","Gonna chill at home, watch Netflix"
I'm just really excited about the concert tonight.,I'm mad hyped for the concert tonight!,pumped
"Hey, I just finished my homework and I'm ready to relax now.","Yo, just crushed my homework, now I'm chillin' like a villain.","nailed it, livin' large"
"I'm really tired after working all day, so I think I'll just relax at home.","I'm totally drained after grinding all day, so I'm just gonna chill at home.",burned out
"Hey, I just got back from shopping and found some really cool clothes.","Yo, just hit the mall and scored some dope fits!",Fresh gear!
I'm going to grab some food before I go out with my friends.,I'm about to snag some eats before I dip with the crew.,gonna grab grub and bolt with peeps
"Hey, I’m going to grab some coffee. Do you want anything?","Yo, I’m about to snag some java. You tryna peep a sip?",Gonna cop some coffee. Wanna grab a taste?
I'm just grabbing a coffee before heading to work.,Just vibing with a coffee before I bounce to work. 🚶‍♀️☕,chilling (with a coffee) before I take off for work.
"Hey, do you want to go grab some food later?","Yo, wanna yeet for some chow later? 🔥",Wanna hang out and eat later? (slang term: yeet)
I'm really tired after this long day.,"I'm totally wiped after this mega long day, lol.",fried
I'm going to grab a quick snack before heading out.,Gonna snag a quick munch before I dip out.,Grabbing a swift bite then scram.
"Hey, I'm going to grab some coffee before class.","Yo, I'm about to snag some brew before class kicks off.",Gonna grab a beer before class starts. (Slang term: snag)
I'm just really tired today and I can't focus.,"I'm mad exhausted today and I can't even focus, lol.",burnt out
"Yeah, I think I'm going to stay in tonight and relax.","Fr, I’m just chillin’ at home tonight, no cap.",Chillin' (no cap) -> Chillaxing (no cap)
I'm really excited about the new movie that just came out.,I'm so hyped for the new flick just dropped!,pumped
I'm so tired because I didn't get enough sleep last night.,I'm vibing so busted 'cause I barely slept last night.,am wrecked
"Hey, I'm feeling a bit tired today.","Yo, I'm kinda vibing low today.",chilling low
I'm just really tired because I stayed up late last night.,I'm mad exhausted 'cause I didn’t hit the hay till super late last night.,burned out
I'm really tired right now and just want to relax at home.,I'm totally drained rn and just wanna chill at my place.,"burned out rn, wanna chill"
"Hey, I really like your outfit today!","Yo, your drip’s looking fire today!",Your swag's on point today! (Fire here refers to something that is impressive or cool)
I can't believe how nice the weather is today.,"No cap, the weather's mad chill today!",chill (slang for being calm and relaxed)
"Hey, I really like that new song you played earlier.","Yo, that new track you dropped earlier is fire, no cap!",That new track is fire (slang for excellent)
"Hey, I saw my friend at the mall today.","Yo, I saw my homie at the mall today.",Homeboy (at the mall) = Mall rat (with homeboy)
I'm really tired after running errands all day.,"I'm wiped after hustle all day, fr fr.",burned out (after grinding all day)
"Hey, did you see the new trailer for the movie?","Yo, have you peeped the new trailer for the flick?",Heard the fresh trailer for the movie?
I'm feeling really tired after this long day.,I'm hella exhausted after this whole vibe of a day.,"I'm extremely tired after this intense day. (Slang term: ""hella"")"
I'm just about to go get some coffee. Want to join?,"I'm finna grab some coffee, yo. You tryna slide?","gonna, sliding"
"I'm really hungry, want to grab some lunch?","I'm mad hungry, let's hit up some lunch fam!",ravenous (let's grab some grub)
"Hey, did you watch the new episode of the show last night?","Yo, did you catch the new ep of the show yesterday? It's lit!",new ep was fire
I'll catch up with you later when I finish my homework.,"Yo, I’ll dip soon after I finish my hw, ttyl!",gonnabailsoon
I'm really tired after such a long day at school.,"Bruh, I’m so drained after this crazy long school day.",burned out
"Hey, I just finished my homework and I'm all set for the weekend.","Yo, just wrapped up my homework, and I'm chillin’ for the weekend!",Chillaxed (for the weekend)
Did you finish your homework yet?,Have you peeped your homework yet?,You checked on your homework yet?
I really like that new song you showed me last night.,"That new banger you played last night is fire, I’m obsessed.",banger (slang for an excellent or popular song) -> fire (slang for something that is exceptionally good)
I'm just really tired today after the long day at work.,"I'm so drained after this long grind at work, fr.","burned out, mate"
I'm going to grab a coffee before class.,"I'm finna peep a coffee before class, fr.","gon' grab some java, fam."
"Hey, I just finished my homework and I might go hang out with my friends later.","Yo, just wrapped my homework and might dip to chill with my squad later.","gonna hit up crew l8r (slang for ""going to hang out with friends later"")"
"I'm just hanging out at the park, enjoying the sun.","I'm just vibing at the park, soaking up the sun.","Chillin' at the park, catching rays."
I'm really excited for the party tonight!,I'm super hyped for the party tonight!,pumped
I can’t believe I forgot my keys at home.,"No cap, I left my keys at home and just realized it now!",Forgot (my keys) at home
"Hey, I really like your new haircut!","Yo, your new drip slaps!",Fresh fit kills!
I'm just really tired today after a long day at work.,"I'm completely wiped after a crazy long day at work, fr.",exhausted (after a wildly hectic day at work)
I'm going to grab a coffee before heading to class.,"Gonna snag a latte before hitting up class, fr.","About to grab a coffee, chill. (Snag = Grab)"
I'm really tired because I stayed up late studying.,I'm huge tired 'cause I pulled an all-nighter hitting the books.,burnt out
I'm just feeling really tired today and don't want to do anything.,I'm deadass drained today and not tryna do nada.,"drained, ain't got the energy for anything"
I went to the grocery store to pick up some food.,I hit up the grocery to snag some snacks.,Hit up the store for some grub
"I'm really tired today, so I might just stay in and relax.","I'm so drained today, might just chill at home and vibe.","burnt out, wanna chill at home and vibe it up"
I'm going to hang out with my friends at the park today.,I'm finna chill with my squad at the park today.,gonna
I'm just relaxing at home and binge-watching my favorite show.,"I'm just chillin' at home, binge-watching my fave show, fr fr.","Chillin', binge-watching"
I think I need to take a break and relax for a bit.,"Bruh, I gotta vibe out and chill for a sec.",Chillax (briefly)
I'm thinking about going to the park later to relax and maybe grab some ice cream.,"I'm vibing with hitting the park later to chill and maybe snag some ice cream, fr.","Chillin' at the park, might grab some ice cream later, bro."
I'm just going to grab a quick snack before I start my homework.,I'm just gonna pop a snack real quick before I dive into homework.,munchin' on a quick bite
"Hey, I'm really tired today because I didn't sleep well last night.","Hey, I'm so exhausted today 'cause I didn't catch enough Z's last night.",Tired (from lack of sleep) - Didn't get enough z's
I just finished my homework and I'm so tired.,"Just wrapped up my homework and I'm totally drained, fr.","burned out, fam"
I'm just tired and want to chill at home today.,"I'm so drained, just tryna vibe solo at my place today.","burnt out, wanna chill alone today"
I'm just going to grab some coffee before school.,"I'm finna yeet some coffee before class, fr fr.","gon' chuck (some) coffee (before class), for real"
I'm so excited for the concert tonight!,I'm hella stoked for the concert tonight!,hyped
"Hey, I saw a really cool hoodie at the store today.","Yo, I peeped a sick hoodie at the store today, fr fr.",fresh hoodie
I'm really excited about hanging out with my friends today.,I'm super hyped to chill with my squad today.,pumped
"Hey, I'm just relaxing at home and listening to some music.","Yo, I'm just chillin' at my place and vibing to some tunes.","Chillin', vibin'"
"Hey, I just got back from school and I'm really tired.","Yo, just hit home from school and I'm totally drained, fr.",burnt out
I went to the coffee shop this morning to get my favorite latte.,I hit up the coffee spot this morning to snag my fave latte.,"I copped a cuppa from the joint this AM, favorite latte in hand. (here ""copped"" is used as a slang term for getting or purchasing something)"
I'll see you at the coffee shop later.,"Catch you at the coffee spot later, fr.","hang out later, bro"
I'm feeling really tired after studying all night.,I'm totally wiped after grindin’ all night on homework.,exhausted (from working hard)
I'm just relaxing and watching some movies today.,I'm just vibing and binge-watching some flicks today.,Chillin' and marathoning movies today.
I'm really happy that you came to the party yesterday.,I'm mad hyped you pulled up to the party yesterday!,pumped
"Hey, I think we should grab some coffee later.","Yo, let’s snag some coffee later, fam.","Chill, let's grab some java later, peeps."
I'm really tired today after staying up all night.,"I'm hella drained ‘cause I stayed up all night, fr fr.",exhausted (literally)
I'm just relaxing at home right now.,I'm just vibing at home rn.,Chillin' (at home)
I'm heading to the mall to grab some snacks with my friends.,I'm finna hit the mall with my crew to snag some snacks.,gonnahang (with friends) shoppin' (for food)
I'm just trying to get through the day without any drama.,"I'm just vibing through the day without any mess, no cap.","Chillin', no cap."
I'm just feeling really tired after a long day at work.,"I'm so wiped after a long shift, fr fr.",burned out
"Hey, do you want to hang out later after school?","Yo, wanna kick it after class?",Hang out (after class)
"Hey, I’m just going to grab some coffee before work.","Yo, I’m about to hit up some caffeine before clocking in.",Gonna grab some coffee before work. (Slang term: hit up)
"Hey, I just saw that new movie everyone's talking about.","Yo, just peeped that new flick everyone's buzzing about!",Heard that hot new movie everyone's talking up!
I'm just hanging out with my friends at the café.,Just vibing with my friends at the spot ✌️,Chillin' with pals at the hangout
"Hey, I found a new cafe that's really nice to hang out in.","Yo, I copped a new spot that's mad chill to vibe at.",Chill spot (slang for place)
I'm feeling pretty tired today because I didn't get enough sleep.,"I'm dead tired today 'cause I barely slept, fr fr.",beat (exhausted)
I'm just going to relax and watch some shows tonight.,"I'm vibing at home, binge-watching some shows tonight.","Chillin' (at home), marathon-watching shows tonight."
I am really tired today because I didn't sleep well last night.,I'm so dead today 'cause I slept like no cap last night.,drained (today)
"Hey, do you want to grab something to eat together later?","Yo, you tryna pow wow and grab some grub l8r?",Wanna hang out and eat later?
"Hey, I just finished my homework and I'm thinking of hanging out with some friends later.","Yo, just wrapped my homework and might chill with the squad later.",Chillin' later
"I'm really tired today, I just want to relax and do nothing.","I'm so drained today, just wanna chill and do nada.","burnt out, feel like vegging out"
I'm just trying to hang out with my friends this weekend.,I’m just tryna vibe with my squad this weekend.,chilling with crew (this weekend)
I'm going to grab some coffee at the café.,"I'm about to hit up the coffee shop, fr fr.",hitting up (slang for visiting)
I'm just going to relax at home and watch some Netflix tonight.,I'm just chillin' at home and vibing with some Netflix tonight.,Chillin' -> chilling (Relaxing or being casual)
I'm feeling pretty tired today after staying up late last night.,I'm hella drained today ‘cause I stayed up all night smh.,exhausted
I really like that new song you recommended to me.,"That new bop you dropped on me is lowkey fire, I’m obsessed!",banger (slang for a great song)
"Hey, I just finished my homework and I need a break.","Yo, just wrapped my homework and I need a chill sesh.",Need a chill out session.
I just got back from shopping and I'm exhausted.,"Just hit the mall, and I’m wiped.","Beat the shopping center, and I'm exhausted. (Slang term: beat)"
I'm just trying to finish my homework before going out with friends.,I'm just tryna wrap up my homework before vibing with friends.,grindin'
I'm feeling pretty tired today after a long week.,"I'm totally drained after a wild long week, lol.",burned out
I'm just taking a walk in the park to relax.,I'm just vibing in the park to chill.,Chillin'
I'm going to grab some lunch with my friends this afternoon.,I'm finna squad up for some lunch with my peeps later.,gonnasquadup
"Hey, are you free this evening to hang out?","Yo, you chillin’ tonight? Wanna link up?",Hangin' tonight? Want to meet up?
"Hey, I really like your new outfit!","Yo, your drip is fire, love it!","Your swag is on point, dig it! (Exchanged ""drip"" with ""swag"" and ""fire"" with ""on point"", while maintaining the same meaning)"
I'm going to grab some coffee with my friend later today.,"Yo, I'm vibing with my homie for some coffee later, fr!","Chillin', catching up over coffee with a buddy, for sure."
I was just chilling with my friends at the park.,I was just vibin' with my crew at the park.,chillin'
I'm really tired and just want to stay home today.,I'm deadass exhausted and just wanna chill at home today.,"burnt out, wanna kick it at home today"
"Hey, I saw you at the park yesterday and you looked really happy.","Yo, saw u at the park yesterday, u looked vibing real hard.",Vibin' hard
I'm really tired after a long day and just want to relax.,I'm totally drained after a long day and just wanna chill.,burned out
I went to the park yesterday and saw a lot of people having fun.,I hit up the park yesterday and saw a bunch of peeps vibing and having a good time.,Chillin' (with peeps)
I'm thinking of grabbing some coffee before work.,"Gonna snag a coffee before clockin' in, lol.","About to grab a cuppa joe before hitting work, lmao."
I'm just going to grab some coffee and then go home and relax.,Just finna get some coffee and then dip home to chill. ✌️,Gonna
I'm just ready to relax and watch some movies tonight.,I'm just vibing to chill and binge some movies tonight.,"Chillin' (slang for relaxing) & Binging (slang for watching a large amount of something, especially TV shows or movies)"
I'm really tired after walking around the mall all afternoon.,"I'm so drained 'cause I spent the whole day roaming the mall, lol.",burnt out
I'm just going to hang out with my friends tomorrow evening.,I'm just vibing with my squad tomorrow night.,Chilling (with friends) tomorrow night.
I'm going to the supermarket to buy some snacks.,I'm heckin' slide to the store to grab some munchies.,Heckin' slidin' to store for munchies
I'm going to grab some coffee with my friend this afternoon.,Gonna catch some coffee with my peep later.,Hanging out (coffee date) with my homie later.
"Hey, I just finished my homework and I'm so ready to chill now.","Yo, just wrapped my homework and I'm vibing to relax now.",Chillin' (slang for relaxing)
I'm feeling really tired today because I stayed up late last night.,I'm dead tired today 'cause I pulled an all-nighter last night.,burnt out
"Hey, could you send me the notes from yesterday’s meeting?","Yo, can you send me the deets from yesterday’s meet? Thanks fam!",details (from yesterday's meet)
"It's really hot outside today, so I think I'll stay indoors.","It's mad hot out today, so I’m just chillin' inside.",scorching
I'm just going to relax and watch some TV.,I'm just chillin' and vibing with some TV.,Chillaxing (watching TV)
I'm just going to relax and watch some TV now.,I'm just chillin’ and vibing with some shows now.,Chillin' and vibin'
I'm just relaxing at home and listening to some music.,"Just chillin' at my crib, vibing with some tunes.","Chillin' at home, vibin'."
I think I should probably get some sleep now.,"Lowkey, I gotta dip and catch some Z's soon.",Gotta hit the sack soon.
"Hey, did you see my new phone? It's pretty cool.","Yo, did you peep my new phone? It's mad sick.",Fresh (phone)
"Hey, do you want to grab dinner after work?","Yo, wanna hit up a dinner sesh after work?",Chill (out) let's grab dinner post-work?
"Hey, do you want to go grab some coffee after work?","Yo, wanna hit up coffee after work? ✨",chill (coffee)
I'm just feeling really tired today and don't want to go out.,"I'm hella drained today, I lowkey don't wanna step out.","I'm really exhausted today, I kind of don't want to go out."
